員工編號(EmployeeNumber),性別(Gender),年齡(Age),是否為成年人(Over18),婚姻狀態(MaritalStatus),通勤距離(DistanceFromHome),教育程度(Education),教育專業領域(EducationField),部門(Department),職位名稱(JobRole),職位等級(JobLevel),在該公司工作總年資(YearsAtCompany),在該職位工作年資(YearsInCurrentRole),在該職等工作年資(YearsSinceLastPromotion),與現任管理者工作年資(YearsWithCurrManager),總工作年資(TotalWorkingYears),過去工作公司家數(NumCompaniesWorked),每日工資額(DailyRate),每小時工資額(HourlyRate),月收入(MonthlyIncome),月費率(MonthlyRate),標準工作時間(StandardHours),加班(OverTime),調薪百分比(PercentSalaryHike),股票選擇權等級(StockOptionLevel),績效評估(PerformanceRating),出差頻率(BusinessTravel),去年訓練時間(TrainingTimesLastYear),工作滿意度(JobSatisfaction),工作環境滿意度(EnvironmentSatisfaction),工作投入(JobInvolvement),工作生活平衡(WorkLifeBalance),人際關係滿意度(RelationshipSatisfaction),離職(Attrition)
1551,Male,24,Y,Divorced,21,2,Technical Degree,Research & Development,Laboratory Technician,1,1,1,0,0,2,0,350,57,2296,10036,80,No,14,3,3,Travel_Rarely,3,1,3,2,3,2,No
1012,Male,18,Y,Single,5,2,Life Sciences,Research & Development,Research Scientist,1,0,0,0,0,0,1,287,73,1051,13493,80,No,15,0,3,Non-Travel,2,4,2,3,3,4,No
349,Male,29,Y,Divorced,20,2,Marketing,Sales,Sales Executive,2,3,2,0,2,10,2,1247,45,6931,10732,80,No,14,1,3,Travel_Rarely,2,4,4,3,3,4,No
1654,Male,39,Y,Married,12,3,Medical,Research & Development,Manufacturing Director,2,5,4,1,0,7,4,492,66,5295,7693,80,No,21,0,4,Travel_Rarely,3,2,4,3,3,3,No
1881,Male,31,Y,Divorced,20,3,Life Sciences,Research & Development,Laboratory Technician,2,10,8,0,2,10,1,311,89,4197,18624,80,No,11,1,3,Travel_Rarely,2,3,2,3,3,1,No
1890,Male,36,Y,Single,2,1,Human Resources,Human Resources,Human Resources,2,10,1,0,8,10,1,1213,94,3886,4223,80,No,21,0,4,Travel_Frequently,2,4,2,2,2,4,No
1383,Female,34,Y,Single,2,4,Technical Degree,Research & Development,Healthcare Representative,2,14,11,4,11,14,1,404,98,6687,6163,80,No,11,0,3,Travel_Rarely,2,4,3,3,4,4,No
1049,Male,45,Y,Single,24,4,Medical,Human Resources,Human Resources,1,6,3,0,4,6,1,788,36,2177,8318,80,No,16,0,3,Travel_Rarely,3,2,2,3,3,1,No
113,Male,23,Y,Divorced,2,1,Technical Degree,Sales,Sales Representative,1,0,0,0,0,3,3,541,62,2322,9518,80,No,13,1,3,Travel_Rarely,3,1,3,3,3,3,No
1966,Male,32,Y,Single,5,4,Life Sciences,Research & Development,Manufacturing Director,2,1,0,0,0,8,8,1373,56,9679,10138,80,No,24,0,4,Travel_Rarely,1,4,4,2,3,2,No
366,Male,29,Y,Married,2,3,Medical,Sales,Sales Executive,2,0,0,0,0,10,2,1210,78,6644,3687,80,No,19,2,3,Travel_Rarely,2,2,1,2,3,2,No
857,Male,36,Y,Married,1,2,Life Sciences,Sales,Sales Executive,2,18,14,4,11,18,1,928,56,6201,2823,80,Yes,14,1,3,Travel_Rarely,1,4,2,3,2,4,No
2046,Female,45,Y,Single,20,3,Life Sciences,Sales,Sales Executive,2,5,3,0,1,8,8,374,50,4850,23333,80,No,15,0,3,Travel_Rarely,3,3,4,3,3,3,No
1707,Male,24,Y,Married,9,3,Medical,Research & Development,Research Scientist,1,5,3,0,4,5,1,581,62,4401,17616,80,No,16,1,3,Travel_Rarely,1,3,3,4,3,4,No
1563,Male,38,Y,Married,10,4,Human Resources,Human Resources,Human Resources,2,6,3,1,2,10,3,888,71,6077,14814,80,No,11,0,3,Travel_Frequently,2,3,3,3,3,3,No
702,Male,33,Y,Single,3,3,Life Sciences,Research & Development,Research Scientist,1,10,8,9,7,10,1,1076,70,3348,3164,80,Yes,11,0,3,Travel_Frequently,3,1,1,3,3,1,Yes
986,Female,40,Y,Single,24,3,Life Sciences,Sales,Sales Executive,4,1,0,0,0,22,4,1479,100,13194,17071,80,Yes,16,0,3,Non-Travel,2,2,2,4,2,4,Yes
305,Female,33,Y,Married,4,4,Medical,Research & Development,Research Scientist,1,3,2,1,1,7,6,147,47,2622,13248,80,No,21,0,4,Travel_Rarely,3,2,3,2,3,4,No
150,Male,24,Y,Married,18,1,Life Sciences,Research & Development,Laboratory Technician,1,5,3,1,2,6,0,1127,52,2774,13257,80,No,12,1,3,Travel_Rarely,2,3,2,3,3,3,No
1135,Male,31,Y,Married,20,3,Life Sciences,Sales,Sales Representative,1,2,2,2,2,3,0,793,67,2791,21981,80,No,12,1,3,Travel_Frequently,4,4,3,4,3,1,No
776,Male,52,Y,Married,3,4,Marketing,Sales,Manager,4,34,6,1,16,34,1,621,31,16856,10084,80,No,11,0,3,Travel_Rarely,3,1,3,2,4,1,No
240,Female,45,Y,Divorced,4,2,Life Sciences,Sales,Sales Executive,2,5,4,0,3,9,4,1268,30,5006,6319,80,Yes,11,1,3,Travel_Rarely,3,1,3,3,4,1,No
1267,Male,44,Y,Married,5,3,Marketing,Sales,Manager,5,22,9,3,10,26,7,1099,88,18213,8751,80,No,11,1,3,Travel_Rarely,5,2,2,3,3,3,No
1102,Male,28,Y,Divorced,15,2,Life Sciences,Research & Development,Laboratory Technician,1,4,2,2,2,4,1,895,50,2207,22482,80,No,16,1,3,Travel_Rarely,5,3,1,3,2,4,No
1789,Male,46,Y,Divorced,2,4,Medical,Research & Development,Research Director,5,2,1,2,2,24,7,734,46,19328,14218,80,Yes,17,1,3,Travel_Rarely,3,4,3,3,3,3,No
1824,Male,58,Y,Divorced,2,3,Medical,Sales,Manager,4,16,9,14,14,37,4,350,52,16291,22577,80,No,22,1,4,Non-Travel,0,2,2,3,2,4,No
1312,Female,36,Y,Married,10,4,Technical Degree,Research & Development,Healthcare Representative,3,7,7,1,7,10,3,325,63,7094,5747,80,No,12,0,3,Travel_Rarely,0,3,4,3,3,1,No
391,Female,37,Y,Single,1,3,Life Sciences,Research & Development,Research Scientist,1,17,12,5,7,17,1,1372,42,2115,15881,80,No,12,0,3,Travel_Rarely,3,4,4,3,3,2,No
1543,Male,37,Y,Married,13,3,Medical,Research & Development,Research Scientist,2,10,8,3,7,10,1,674,47,4285,3031,80,No,17,0,3,Travel_Rarely,2,4,1,3,3,1,No
564,Male,29,Y,Married,3,4,Medical,Research & Development,Research Director,3,10,2,0,7,10,1,986,93,11935,21526,80,No,18,0,3,Travel_Rarely,2,3,2,2,3,3,No
1651,Female,36,Y,Married,5,4,Life Sciences,Research & Development,Healthcare Representative,3,3,2,0,2,9,4,711,42,8008,22792,80,No,12,2,3,Travel_Rarely,6,1,2,3,3,3,No
40,Male,44,Y,Married,10,4,Other,Research & Development,Healthcare Representative,2,4,2,1,3,9,2,1459,41,6465,19121,80,Yes,13,0,3,Travel_Rarely,5,4,4,3,4,4,No
728,Male,47,Y,Single,14,4,Marketing,Sales,Sales Executive,2,7,7,1,7,20,2,703,42,4960,11825,80,No,12,0,3,Travel_Rarely,2,1,4,3,3,4,No
291,Male,32,Y,Married,4,4,Medical,Sales,Sales Executive,3,14,8,9,8,14,1,1045,32,10400,25812,80,No,11,0,3,Travel_Rarely,2,4,4,1,2,3,Yes
1903,Male,44,Y,Married,1,4,Life Sciences,Research & Development,Healthcare Representative,2,2,0,2,2,10,2,170,78,5033,9364,80,No,15,1,3,Travel_Rarely,5,1,2,4,3,4,No
1516,Male,32,Y,Single,10,3,Medical,Research & Development,Manager,3,5,2,0,0,10,2,495,64,11244,21072,80,No,25,0,4,Travel_Rarely,5,4,3,3,4,2,No
1447,Female,34,Y,Married,1,3,Life Sciences,Research & Development,Laboratory Technician,1,5,4,0,2,7,5,401,86,3294,3708,80,No,17,1,3,Travel_Rarely,2,2,4,2,2,1,No
874,Male,44,Y,Married,8,4,Life Sciences,Research & Development,Laboratory Technician,1,3,2,0,2,10,2,986,62,2818,5044,80,Yes,24,1,4,Travel_Rarely,2,4,1,4,2,3,No
1250,Male,54,Y,Married,3,3,Life Sciences,Research & Development,Research Director,4,10,9,0,9,36,3,685,85,17779,23474,80,No,14,0,3,Travel_Rarely,2,4,4,3,3,1,No
1255,Male,43,Y,Married,3,3,Life Sciences,Research & Development,Research Director,5,8,7,0,7,25,3,920,96,19740,18625,80,No,14,1,3,Travel_Rarely,2,4,3,1,3,2,No
256,Male,34,Y,Married,2,1,Life Sciences,Research & Development,Manufacturing Director,2,10,9,1,9,10,1,1069,45,9547,14074,80,No,17,0,3,Travel_Frequently,2,3,4,2,2,3,No
510,Male,26,Y,Single,3,1,Technical Degree,Research & Development,Research Scientist,1,6,4,0,4,7,0,575,73,3102,6582,80,No,22,0,4,Travel_Frequently,2,1,3,3,3,3,Yes
1355,Female,38,Y,Divorced,2,2,Life Sciences,Sales,Sales Executive,2,7,7,1,7,11,3,1009,31,6893,19461,80,No,15,1,3,Travel_Rarely,3,1,2,3,3,4,No
1927,Male,28,Y,Married,1,2,Life Sciences,Sales,Sales Executive,2,7,7,0,7,7,1,783,42,6834,19255,80,Yes,12,1,3,Travel_Frequently,2,4,3,2,3,3,No
1411,Female,37,Y,Single,11,3,Medical,Research & Development,Laboratory Technician,1,3,2,0,2,8,4,1462,94,3629,19106,80,No,18,0,3,Travel_Rarely,6,3,1,3,3,1,No
107,Female,38,Y,Divorced,6,3,Medical,Research & Development,Research Scientist,2,13,11,1,9,17,7,573,79,5329,15717,80,Yes,12,3,3,Non-Travel,3,4,2,1,3,4,No
1836,Male,26,Y,Single,10,3,Medical,Sales,Sales Executive,2,5,3,1,2,5,1,572,46,4684,9125,80,No,13,0,3,Travel_Rarely,4,4,3,3,3,1,No
62,Male,46,Y,Single,5,4,Marketing,Sales,Sales Executive,2,9,6,0,8,14,4,1211,98,5772,20445,80,Yes,21,0,4,Travel_Frequently,4,4,1,3,3,3,No
208,Male,29,Y,Married,1,1,Technical Degree,Research & Development,Manufacturing Director,2,10,7,0,9,10,1,1496,41,4319,26283,80,No,13,1,3,Non-Travel,1,3,4,3,3,1,No
824,Male,29,Y,Married,23,2,Life Sciences,Research & Development,Research Scientist,1,10,7,0,7,10,1,1252,81,2700,23779,80,No,24,1,4,Travel_Rarely,3,3,3,4,3,3,No
1581,Female,26,Y,Married,3,3,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,1,1,474,89,2061,11133,80,No,21,0,4,Travel_Rarely,5,4,1,3,3,1,No
1981,Male,24,Y,Single,1,2,Life Sciences,Research & Development,Healthcare Representative,2,4,3,1,2,4,1,771,45,4617,14120,80,No,12,0,3,Travel_Rarely,2,3,2,2,2,2,No
